task_id,agent_name,M1.1_Success_Bool,M2.2_Trajectory_Efficiency_1to5,M2.3_Global_Strategy_1to5,M2.4_Reasoning_Quality_1to5,M2.5_Role_Adherence_1to5,M3.1_Tool_Selection_1to5,M3.2_Tool_Execution_Quality_1to5,M4.1_Context_Utilization_1to5,M5.1_Communication_1to5_IfMAS,Comments
django__django-11099,live-swe-agent,1,5,5,5,5,5,4,5,,"Excellent: 25 steps, $0.012 cost (most efficient). ONLY successful agent for this issue. Used Python heredoc for atomic file replace (avoided str_replace duplicate pattern issue). Comprehensive verification with 4 test cases. First test failed (re.compile flags), quickly fixed. Clean minimal git diff."
sympy__sympy-13480,OpenHands,0,2,2,3,4,4,4,4,,"82 steps, $0.06 cost. Import issues wasted time (mpmath, collections.abc Python 3.10+ incompatibility). Repeatedly tried HEAD~1 diff despite only one commit existing. Never verified fix. Final diff incomplete. Asked user question (role violation)."
sympy__sympy-13480,SWE-agent,0,4,2,3,5,3,5,5,,"26 steps, $0.017 cost. Efficient grep for 'cotm'. Opened unrelated trigonometric.py. str_replace with inaccurate old_string (hallucination). Premature submit without full verification. Clean tool execution but ultimately unsuccessful."
sympy__sympy-13480,MetaGPT,1,2,2,3,5,3,4,5,2,"42 steps, $5.41 cost (very expensive for typo fix). Plan found but low adherence. Searched wrong paths repeatedly. Unrelated ASCIIUsernameValidator search in ./django. Edit failed (ValueError). 81k token search for 'coth'. Redundant inter-agent messages (40% signal, 60% noise). Ultimately successful."
sympy__sympy-13480,live-swe-agent,1,5,5,4,5,5,5,5,,"22 steps, $0.008 cost (cheapest). Excellent workflow: grep for 'cotm', compare with trigonometric.py, sed fix, verify with substitution tests. Clear plan with high adherence. Minor: some truncated outputs. Best performer for this issue."
matplotlib__matplotlib-20676,OpenHands,0,2,2,3,4,3,3,4,,"49 steps, $0.07. Could not import matplotlib (ImportError) - no verification possible. Fetched from GitHub main (unnecessary). pytest not found. Asked 'What's next?' at end (role violation). Made edit but unverified."
matplotlib__matplotlib-20676,SWE-agent,0,5,2,5,5,4,5,5,,"38 steps, $0.04. Perfect. Quick analysis, correct fix (Line2D instead of axvline). Created repro script, verified fix works (xlim: 9.5,20.5). Submitted twice (minor). Best approach - clean and efficient."
matplotlib__matplotlib-20676,MetaGPT,0,1,2,1,5,2,2,1,3,"82 steps, $4.49. Wrong Analysis: targeted SliderBase (line 260) instead of ToolLineHandles. 16+ IDENTICAL IndexError loops - never adapted. Completely ignored all error messages. Final git diff was for wrong file (token_counter.py). Total failure."
matplotlib__matplotlib-20676,live-swe-agent,0,3,2,4,5,4,4,4,,"82 steps, $0.07. Iterative debugging: 1st fix (Line2D) insufficient (xlim:-1,21), 2nd fix with limit-restore successful (xlim:9.5,20.5). Long exploration but systematic. One bash && syntax error. Good recovery from initial failure."
pylint-dev__pylint-4970,OpenHands,0,2,3,3,4,3,3,3,,"105 steps, $0.11. Correct fix in _compute_sims() but Import errors prevented verification. Git dubious ownership and embedded repo issues. Diff contains unrelated files (.vscode, .DS_Store). Asked 'What's next?' at end."
pylint-dev__pylint-4970,SWE-agent,0,4,2,4,5,4,5,4,,"54 steps, $0.05. Two edits in close() and _find_common() - good approach. Reproduce script had empty output, unclear verification. Submitted without running tests."
pylint-dev__pylint-4970,MetaGPT,0,1,3,1,5,2,1,1,3,"97 steps, $3.94. 20+ identical IndexError loops on edit_file_by_replace. Tree-sitter linting TypeError. Never successfully edited file. diff.txt contains MetaGPT's own repo changes instead of pylint fix."
pylint-dev__pylint-4970,live-swe-agent,0,5,2,5,5,5,5,5,,"31 steps, $0.02. Best solution: used awk for inline edit. Ran pytest - all tests passed. Minimal clean diff. Most efficient approach despite being marked unsuccessful."
pytest-dev__pytest-5262,OpenHands,0,2,3,3,4,3,3,3,,"96 steps, $0.07. Correct mode property fix added but verification failed. Reproduce script rewritten multiple times. Git dubious ownership issues. Final diff.txt incomplete. Asked 'What's next?' at end."
pytest-dev__pytest-5262,SWE-agent,1,5,2,5,5,5,5,5,,"36 steps, $0.04. Excellent. Added mode property, created and verified reproduce script, ran relevant test (passed). Clean efficient approach."
pytest-dev__pytest-5262,MetaGPT,0,2,3,2,5,2,1,2,3,"54 steps, $2.08. 10+ identical IndexError loops on edit_file_by_replace (tree-sitter linting bug). Understood the problem but could not apply changes. Wrote diff.txt manually without actual file changes."
pytest-dev__pytest-5262,live-swe-agent,1,5,2,5,5,5,4,5,,"27 steps, $0.03. Most efficient. Used Python script to patch file directly. Verified ef.mode='r+' (no 'b'). Mode property appears twice in final diff (minor). Clean solution."
django__django-16901,OpenHands,1,3,3,4,5,4,3,4,,"103 steps, $0.15. Correct fix (rhs_mod = rhs_sum % 2). Much time building FakeOps for reproduce script. SQL output shows MOD correctly. Git embedded repo issues. Eventually successful."
django__django-16901,SWE-agent,1,3,2,4,5,4,4,4,,"117 steps, $0.13. Correct fix but very long. Extensive FakeOps development for reproduce script. SQL output correct with MOD. More efficient than OpenHands despite more steps."
django__django-16901,MetaGPT,0,1,1,1,5,1,1,1,2,"31 steps, $2.17. Completely wrong problem: fixed pytest EncodedFile instead of django XOR parity. diff.txt contains pytest changes, not django. Did not read problem_statement correctly. Total misunderstanding."
django__django-16901,live-swe-agent,1,5,2,5,5,5,5,5,,"43 steps, $0.03. Most efficient. Used Python script to add Mod import and change Exact(1, rhs_sum) to Exact(1, Mod(rhs_sum, 2)). Compiled successfully. Best solution."
scikit-learn__scikit-learn-10297,OpenHands,1,3,3,4,5,4,4,4,,"91 steps, $0.09. Correct fix: added store_cv_values to RidgeClassifierCV.__init__ and forwarded to super(). Verified with repro script. Used integer labels (correct for classifier)."
scikit-learn__scikit-learn-10297,SWE-agent,1,5,2,5,5,5,5,5,,"37 steps, $0.03. Excellent. Quick identification of _BaseRidgeCV already supporting store_cv_values. Clean edit, verified cv_values_ present. Well documented reasoning."
scikit-learn__scikit-learn-10297,MetaGPT,0,1,3,2,5,2,1,2,3,"133 steps, $6.33. 20+ identical edit_file_by_replace failures due to tree-sitter linting bug. Understood the problem correctly but could not apply changes. No verification possible."
scikit-learn__scikit-learn-10297,live-swe-agent,1,5,2,5,5,5,5,5,,"34 steps, $0.02. Most efficient. Used Python script to patch file. Verified cv_values_ present with shape (50,1,3). Clean git diff. Best solution."
sympy__sympy-20801,OpenHands,0,2,3,3,5,3,4,3,,"106 steps, $0.14. Understood asymmetry issue but implemented wrong fix. Made both comparisons return True instead of both False. Problem misinterpretation."
sympy__sympy-20801,SWE-agent,0,3,2,3,5,3,4,3,,"63 steps, $0.09. Explored Float.__eq__ and BooleanFalse. Same misinterpretation as others - made both comparisons True instead of both False."
sympy__sympy-20801,MetaGPT,0,1,3,2,5,2,1,2,3,"180 steps, $10.45 (extremely expensive). Edit tool failures as usual. Eventually made changes but same misinterpretation of expected behavior."
sympy__sympy-20801,live-swe-agent,0,4,2,3,5,4,4,3,,"58 steps, $0.06. Most efficient. Used awk to add __eq__ to BooleanFalse. Verified both comparisons True - but wrong! Expected behavior was both False (like Integer)."
matplotlib__matplotlib-23299,OpenHands,0,1,3,3,5,3,3,3,,"202 steps, $0.28 (very long). Similar approach to others. Many view_range errors. Implemented fix but did not pass tests."
matplotlib__matplotlib-23299,SWE-agent,0,5,2,4,5,4,4,4,,"50 steps, $0.04. Efficient. Used rcParams._get_backend_or_none() fix. Repro script showed 'OK' but still marked unsuccessful. Well documented reasoning."
matplotlib__matplotlib-23299,MetaGPT,0,2,3,2,5,2,2,2,3,"67 steps, $3.35. Edit difficulties as usual. Understood problem but implementation likely incomplete."
matplotlib__matplotlib-23299,live-swe-agent,0,4,2,4,5,4,4,4,,"71 steps, $0.09. Similar approach to SWE-agent. Implemented fix and verified locally but still marked unsuccessful."
django__django-15128,OpenHands,0,2,3,3,5,3,3,3,,"96 steps, $0.11. Implemented two-phase rename but solution did not pass all tests. Similar approach to others."
django__django-15128,SWE-agent,0,4,2,4,5,4,4,4,,"43 steps, $0.07. Implemented sophisticated cycle detection for alias changes. Clean code but overly complex solution did not pass tests."
django__django-15128,MetaGPT,0,2,3,2,5,2,2,2,3,"70 steps, $2.11. Edit difficulties as usual. Understood problem but implementation incomplete."
django__django-15128,live-swe-agent,1,5,4,5,5,5,5,5,,"46 steps, $0.05. Only successful agent. Two-phase rename with uuid for temp aliases. Verified with py_compile. Clean elegant solution."
sympy__sympy-18199,OpenHands,0,4,2,4,5,4,4,4,,"46 steps, $0.04. added early return for a%p==0 case. verified with brute force comparison. clean fix but marked unsuccessful."
sympy__sympy-18199,SWE-agent,0,5,2,5,5,5,5,5,,"39 steps, $0.04. excellent debugging with brute force verification showing 0 mismatches after fix. identified and fixed the issue correctly. still marked unsuccessful."
sympy__sympy-18199,MetaGPT,0,2,3,2,5,2,2,2,3,"58 steps, $2.06. edit difficulties as usual. high cost for simple fix. multi-agent overhead with minimal benefit."
sympy__sympy-18199,live-swe-agent,0,5,2,5,5,5,5,5,,"34 steps, $0.02. most efficient. simple patch at correct location. verified manually. unsuccessful despite correct fix."
